text,class,source,category
Me on my way to watch Oppenheimer After Berbie,Safe,Facebook,Safe
বান্ধবী আমার লাগানির পিনিকে আছে Love in love,Adult,Facebook,Unsafe
প্রত্যেকটা অফিসে এমন একজন কলিগ থাকবেই Laptop,Safe,Facebook,Safe
হ্যালো শার্ক ট্যাঙ্ক বাংলাদেশ আই এম কামিং,Safe,Facebook,Safe
ইন্ডিয়ান কাক্কু আহ সোনা গো আমার একদম পয়েন্টে গিয়া মেইন জয়েন্টে লাগছে,Adult,Facebook,Unsafe
আমার Jelous...! আমার Loyalty,Safe,Facebook,Safe
"Shajalal Kabir বোনঃ দিদি রাত ১২টা বাজে, দুলাভাই এখনো বাসায় আসলো না, মনে হয় অন্য মেয়ে নিয়ে ফূর্তি করছে। দিদিঃ একটা থাপ্পর দিবো, সবসময় শুধু নেগেটিভ চিন্তা করিস, রাস্তায় গাড়ির নিচে চাপা পরে উপরে চলে যেতেও পারে নাকি..?  আমি ",Safe,Facebook,Safe
এমন এমন বন্ধু হতে সাবধান হতে সাবধান,Adult,Facebook,Unsafe
আহারে! আমরা এখন ভাত না খেয়ে আছি চোখে জল চলে আসলো,Safe,Facebook,Safe
বড় ভাই মানে বাবার পরেই আরেকটা মস্ত বড় বটগাছের ছায়া। বয়স্ক পিচ্চি। প্রকৃত বড় ভাই গুলো বউদের চাপে কখনোই ফ্যামিলি থেকে পুরাপুরি আলাদা হয় না।,Safe,Facebook,Safe
"Real love... অভিমান সেই করে যে তোমাকে মন থেকে ভালোবাসে,কথায় কথায় সেই ঝগড়া করে যে তোমাকে feel করে,তোমার দোষ সেই খুঁজবে যে তোমাকে সবসময় মিস করে...!",Safe,Facebook,Safe
"হরতাল সম্পর্কে যে তথ্যগুলো -GenZরা জানেই না #১ দেশের ক্রিকেটের উন্নয়নে গুরুত্বপূর্ণ অবদান আছে হরতালের। হরতালে ফাঁকা রাস্তায় ক্রিকেট খেলেই গড়ে উঠেছে আজকের সাকিব-মাশরাফিরা।#২ একটা সময় ছিল, যখন হরতাল হলে পরীক্ষা পেছাত, এরপর আবার হরতাল হতো, আবার পরীক্ষা পেছাত।#৩ একসময় বিরোধীদলের পাশাপাশি মাঝে মাঝে সরকারি দলও অঘোষিত হরতাল ঘোষণা করত।#৪ বিএনপির নেতাকর্মীদের অবসরের প্রিয় কাজ ছিল হরতাল ডেকে ঘুমিয়ে থাকা।#৫ করোনাকালের লকডাউনের সাথে হরতালের কিছুটা সাদৃশ্য রয়েছে। লকডাউন ছিল অনেকটাই হরতাল লাইট।",Safe,Facebook,Safe
নির্বাচন নির্বাচনে কে জিতবে জিজ্ঞেস করার পর আওয়ামীলীগ: নির্বাচনে যাওয়ার কথা জিজ্ঞেস করার পর বিএনপি: নির্বাচনের আগের দিন পর্যন্ত জাতীয় পার্টি:,Safe,Facebook,Safe
Shomossha nai! Akhono shomoy ase! Just gaari na nilei! Naaaaa!! Hahaaa!! Tomra jiboneo amake! Dhorte parbana! Byebye!! *you!!!?Assalamwalaikum Sir Dhakar jam a Gaari niya palaben?,Safe,Facebook,Safe
YEAH PANI HOBE?HOIBO TOH!Thanda loiben nah normal?NAH!NAH!x2NAH!x3Emni khawar pani.Toh ami kokhon apnare Peshab dite chaisi?,Safe,Facebook,Safe
:প্রেম-সংসার কেমন যাচ্ছে? আমি: সবিনয়ে জানাতে চাই,Safe,Facebook,Safe
পেছন থেকে সবাই সুন্দর  nura,Adult,Facebook,Unsafe
Women enjoying their life Marriage proposal,Safe,Facebook,Safe
বাসায় যখন সবার মাথা গরম,Safe,Facebook,Safe
আর সাহস দেখাবি জীবনে বেশি সাহস দেখাইয়া পোলায় পরছে মুশকিলে এখন ছাড়লেই বিপদ হাসবো নাকি কাঁদবো এবার দেখ কেমন লাগে,Harmful,Facebook,Unsafe
বোকা** ঘুমাচ্ছে,Adult,Facebook,Unsafe
