text,source,category,class
মাগির পোলা তর ভাব দেখতে ভালো লাগে না। তোমার বিচিতে বারি মারতে হইবো,toxic_comments,Unsafe,Adult
বি এনপি একটি অনুভূতির নাম।।,bangla_comment_dataset,Safe,Safe
The Talking Bro,Facebook,Safe,Safe
আহরে রোজার দিনের রোগে দরে পাবনা হসপিটাল কি বন্ধ নাকি,bangla_comment_dataset,Safe,Safe
বড় বড় লোকের বড় বড় ব্যাপার- স্যাপার,bangla_comment_dataset,Safe,Safe
কুত্তার বাচ্ছা,toxic_comments,Unsafe,Harmful
হ্লার পুত তুই।,toxic_comments,Unsafe,Harmful
পরি পরি,bangla_comment_dataset,Safe,Safe
"লাল সবুজ শুধু একটি রং নয়,একটি সাফল্যের ইতিহাস।#সবাইকে মহান বিজয় দিবসের শুভেচ্ছা।             _____জয় বাংলা_____",bangla_comment_dataset,Safe,Safe
চমৎকার লাগছে আপনাকে।,bangla_comment_dataset,Safe,Safe
প্রতিটি কথা সত্যি ভগবান তো মানুষের মাধ্যমেই মানুষের উপকার করে থাকেন তবে অকৃতজ্ঞকে কেউ ক্ষমা করে না উপকারীর উপকার যে ভুলে যায় সে বেইমান,bengali_hate,Safe,Safe
আগে অর ফাসি তার পরে অন্য কথা।,bengali_hate,Safe,Safe
যেীন জাগরনের এইডস সরকারের অবস্থা দেখুন রাস্তার মধ্যে তেতুল লীলায় মেতে উঠেছে,bengali_hate,Unsafe,Adult
রানুদির মাথা খারাপ এখন রয়েছে এজন্য ওকে মেনে নিতে হবে,bengali_hate,Safe,Safe
"মোল্লাদের ঘরের মেয়েদের এরকম ধরে যতদিন ধর্ষন না করা হবে,  তত দিন এরা শায়েস্তা হবেনা ",bengali_hate,Unsafe,Adult
সানিলিওন এর টা তোমার থেকে ও সুন্দর,bangla_comment_dataset,Safe,Safe
চোখের জল তখনই আসে যখন তোমাকে খুব মনে পড়ে ,Facebook,Unsafe,Suicidal
"পৃথিবীর সব প্রাপ্তিই আপেক্ষিক, সব সম্পর্কই মিথ্যা, হারিয়ে যাওয়াই চিরন্তন সত্য।",BanglaSAPM,Unsafe,Suicidal
কি করবো আমি জানিনা প্রত্যেকটা মুহূর্তে সুইসাইড করতে ইচ্ছা করছে আমার আপন মা ভাই বোন সবাই আমার শত্রু আমার বাবা মারা যাওয়ার পর আমার ভাই আমাকে অনেক মারতো আমি কি করবো আমি কোনো জব নাই আমার বাবার সম্পত্তি সব  আমার ভাই  টা নিয়ে গেসে আমি এখন কি করবো বুঝতে পারতেছি না। আমার সম্পত্তির কথা বলতে গেলে আমাকে পুলিশ একবার ধরায় দিছিলো । আমি যদি  যোগাযোগ বন্ধ রাখি আমাকে । আমার মা ফোন দিয়ে বলে আমাকে নাকি পুলিশের ভয় দেখায় এমন মা আর জীবনটা যাতে কোনো ঘরে । না হয়। আমার একটা জব নাই আমি কি করবো বুঝতে পারতেছি না আমি কই যাব সবাই আমাকে ফেলে চলে গেছে আমি খুব ভয় এর মধ্যে আসি ,BanglaSAPM,Unsafe,Suicidal
চুতিয়া আরিফ কান,toxic_comments,Unsafe,Adult
জয় বাংলা কেনো চুদাস চুতমারানির পুলা।,toxic_comments,Unsafe,Adult
আলম ভাই আপনি সাথে আমি আছ,bangla_comment_dataset,Safe,Safe
i'm feeling with such a generation that nighter can i be online nor ofline,Facebook,Unsafe,Harmful
"আপনাকে কিছু বলার নেই আর, এবার এটার সাথে শুরু করবেন.....",bangla_comment_dataset,Safe,Safe
ওই কুত্তার বাচ্ছা তুই চুপ থাক,toxic_comments,Unsafe,Harmful
তোরে বুড়ি চোদে,toxic_comments,Unsafe,Adult
বাঘ কে জংগলের বাহিরে রেখে সিংহ দের সাথে বসবাস করাইলো বাঘ এখন সিংহ রূপেই জংগল কাপাবে ইনশা-আল্লাহ্ সাকিব্বাই অভিনন্দন রইলো।,bangla_comment_dataset,Safe,Safe
"কাল পরীক্ষা দিবো নাকি কাশবো! 
হায় আল্লাহ! রহম করো!",BanglaSAPM,Safe,Safe
শইতান এর পু,toxic_comments,Unsafe,Harmful
পন্দে দিএয়া গরম ডিম দিমু,toxic_comments,Unsafe,Adult
মাসিকের ত্যানা।,toxic_comments,Unsafe,Harmful
লোকটা না আটকালে বড় সমস্যা হত,Facebook,Safe,Safe
এমন একজনকে ভালোবেসে ফেলেছি যাকে চাওয়াটা আমার অন্যায় আর ভুলে যাওয়াটা অসম্ভব,Instagram,Unsafe,Suicidal
সাহস বটে !,bangla_comment_dataset,Safe,Safe
আমি যেদিন চলে যাব শান্ত মাটির নিচে | পাবে না আর খুঁজে আমায় হাজার লোকের ভিড়ে | কাদবে শুধু একা একা বুঝবে না তো কেউ | সুখ গুলো কেড়ে নিবে দুঃখের সেই ঢেউ|,BanglaSAPM,Unsafe,Suicidal
আপু কেমন আছেন,bangla_comment_dataset,Safe,Safe
অন্তরের অন্তস্তল থেকে শ্রদ্ধা রহিলো।। করোনায় প্রথম শহীদ।।।,bangla_comment_dataset,Safe,Safe
আমার সাজানো  সুখের সংসার যেন এক নিমেষেই তছনছ হয়ে গেছো,BanglaSAPM,Unsafe,Suicidal
অরে তসলিমা নাসরিন এর কাছে পাঠানোর সময় হয়েছে।,bangla_comment_dataset,Safe,Safe
"কক্সবাজারের মতো এতো নামকরা একটা জায়গাটারে পুরা হোগা মাইরা দিসে, হালা চুদমারানির ভাতিজা মরে না কেন",toxic_comments,Unsafe,Adult
আর কি ভলব,bangla_comment_dataset,Safe,Safe
"এ তো বিরল ঘটনা,এতো শুধু বঙ্গবন্ধু কন্যা শেখ হাসিনার দ্বারাই সম্ভব।",bangla_comment_dataset,Safe,Safe
প্রতিটা গোলাপ'ই কি পরিণতি পাওয়া ভালোবাসার গল্পের অংশ হতে চাওয়ার প্রচন্ড আকাঙ্ক্ষা নিয়ে জন্মায় না...!?,BanglaSAPM,Unsafe,Suicidal
জয়হোক মানবতার -দোয়া ও শুভকামনা রইল বভালোবাসা অবিরাম ,bangla_comment_dataset,Safe,Safe
দুনিয়ার বুকে তার লাস্ট খাবার ছিলো বড় ভাই খাবার কেমন ছিলো সবাই হয়তো ভুলেও গেছে থাকে,Facebook,Unsafe,Harmful
" লান্চ করতে বইয়া তোর হোগা মারা ছবি দেইখা লান্চিত হইলাম,, শুওর",toxic_comments,Unsafe,Adult
অসাধারণ বিনোদন,bangla_comment_dataset,Safe,Safe
শুকরের বাচ্ছায় কয়ডা কি?,toxic_comments,Unsafe,Harmful
আপু কি জন্য Mumbai,bangla_comment_dataset,Safe,Safe
